"company_id","city","state_name","lat","lng","population","position_count","wage_median"
494,"New York","New York",40.6943,-73.9249,18908608,67,196740
132,"New York","New York",40.6943,-73.9249,18908608,395,175000
9590,"New York","New York",40.6943,-73.9249,18908608,3251,115253
191,"New York","New York",40.6943,-73.9249,18908608,49,190000
227,"New York","New York",40.6943,-73.9249,18908608,2,178646
4605,"Los Angeles","California",34.1141,-118.4068,11922389,17,119584
191,"Los Angeles","California",34.1141,-118.4068,11922389,10,182828
227,"Los Angeles","California",34.1141,-118.4068,11922389,2,164800
4605,"Chicago","Illinois",41.8375,-87.6866,8497759,90,123754
9590,"Chicago","Illinois",41.8375,-87.6866,8497759,362,102000
27732,"Houston","Texas",29.786,-95.3885,5970127,41,162000
4605,"Houston","Texas",29.786,-95.3885,5970127,73,133669
9604,"Houston","Texas",29.786,-95.3885,5970127,21,150000
132,"Dallas","Texas",32.7935,-96.7667,5830932,175,137000
9604,"Dallas","Texas",32.7935,-96.7667,5830932,52,135000
4605,"Dallas","Texas",32.7935,-96.7667,5830932,104,110874
27732,"Dallas","Texas",32.7935,-96.7667,5830932,8,154000
132,"Philadelphia","Pennsylvania",40.0077,-75.1339,5683533,10,158300
9604,"Philadelphia","Pennsylvania",40.0077,-75.1339,5683533,23,141300
4605,"Philadelphia","Pennsylvania",40.0077,-75.1339,5683533,10,99418
9590,"Philadelphia","Pennsylvania",40.0077,-75.1339,5683533,7,75691
132,"Atlanta","Georgia",33.7628,-84.422,5180179,450,163364
27732,"Atlanta","Georgia",33.7628,-84.422,5180179,827,136000
9604,"Atlanta","Georgia",33.7628,-84.422,5180179,674,130000
4605,"Atlanta","Georgia",33.7628,-84.422,5180179,76,120532
9590,"Atlanta","Georgia",33.7628,-84.422,5180179,238,105040
307,"Washington","District of Columbia",38.9047,-77.0163,5116378,14,191339
494,"Washington","District of Columbia",38.9047,-77.0163,5116378,6,214000
132,"Boston","Massachusetts",42.3188,-71.0852,4328315,114,165000
9604,"Boston","Massachusetts",42.3188,-71.0852,4328315,60,143619
4605,"Boston","Massachusetts",42.3188,-71.0852,4328315,70,134750
9590,"Boston","Massachusetts",42.3188,-71.0852,4328315,741,120800
307,"Phoenix","Arizona",33.5722,-112.0892,4064275,278,151416
9604,"Phoenix","Arizona",33.5722,-112.0892,4064275,285,147450
132,"Phoenix","Arizona",33.5722,-112.0892,4064275,16,163912
9590,"Phoenix","Arizona",33.5722,-112.0892,4064275,194,106642
4605,"Phoenix","Arizona",33.5722,-112.0892,4064275,26,113925
27732,"Phoenix","Arizona",33.5722,-112.0892,4064275,16,139000
132,"Detroit","Michigan",42.3834,-83.1024,3725908,11,167440
4605,"Detroit","Michigan",42.3834,-83.1024,3725908,24,145050
27732,"Detroit","Michigan",42.3834,-83.1024,3725908,22,148000
9590,"Detroit","Michigan",42.3834,-83.1024,3725908,105,104312
9604,"Detroit","Michigan",42.3834,-83.1024,3725908,10,143150
57585,"Detroit","Michigan",42.3834,-83.1024,3725908,5,154500
191,"Seattle","Washington",47.6211,-122.3244,3561397,31,182358
132,"San Francisco","California",37.7558,-122.4449,3364979,632,171600
4605,"San Francisco","California",37.7558,-122.4449,3364979,99,181815
57585,"San Francisco","California",37.7558,-122.4449,3364979,200,179602
9604,"San Francisco","California",37.7558,-122.4449,3364979,138,173400
27732,"San Francisco","California",37.7558,-122.4449,3364979,979,168000
4605,"San Diego","California",32.8313,-117.1222,3046560,2,135350
132,"San Diego","California",32.8313,-117.1222,3046560,2,175100
132,"Minneapolis","Minnesota",44.9635,-93.2678,2892569,15,167440
9590,"Minneapolis","Minnesota",44.9635,-93.2678,2892569,57,110448
9604,"Minneapolis","Minnesota",44.9635,-93.2678,2892569,7,139800
4605,"Minneapolis","Minnesota",44.9635,-93.2678,2892569,9,118649
9604,"Tampa","Florida",27.9945,-82.4447,2861173,6,142610
9590,"Tampa","Florida",27.9945,-82.4447,2861173,17,85613
4605,"Tampa","Florida",27.9945,-82.4447,2861173,6,109200
9590,"Brooklyn","New York",40.6501,-73.9496,2736074,9,125750
191,"Brooklyn","New York",40.6501,-73.9496,2736074,2,190000
132,"Denver","Colorado",39.762,-104.8758,2687458,151,163100
9604,"Denver","Colorado",39.762,-104.8758,2687458,25,167000
9590,"Denver","Colorado",39.762,-104.8758,2687458,141,112008
4605,"Denver","Colorado",39.762,-104.8758,2687458,16,132000
9590,"Riverside","California",33.9381,-117.3949,2332836,6,81141
27732,"Las Vegas","Nevada",36.2333,-115.2654,2248047,14,138000
9590,"Las Vegas","Nevada",36.2333,-115.2654,2248047,70,85093
9604,"Baltimore","Maryland",39.3051,-76.6144,2196524,8,150836
4605,"Baltimore","Maryland",39.3051,-76.6144,2196524,11,157064
4605,"St. Louis","Missouri",38.6359,-90.2451,2130881,12,121749
9604,"St. Louis","Missouri",38.6359,-90.2451,2130881,9,132500
132,"St. Louis","Missouri",38.6359,-90.2451,2130881,4,151975
27732,"Portland","Oregon",45.5371,-122.65,2095808,57,151000
9604,"Portland","Oregon",45.5371,-122.65,2095808,34,154000
132,"Portland","Oregon",45.5371,-122.65,2095808,22,170000
9604,"San Antonio","Texas",29.4632,-98.5238,2058444,255,147700
9590,"San Antonio","Texas",29.4632,-98.5238,2058444,21,96803
