"company_id","job_family","position_count","wage_median"
9604,"GENERAL MANAGER",12,190000
9590,"GENERAL MANAGER",48,136360
132,"GENERAL MANAGER",5,194750
132,"SALES MANAGER",41,167200
9604,"SALES MANAGER",33,169450
27732,"SALES MANAGER",7,155250
9590,"SALES MANAGER",14,155376
4605,"SALES MANAGER",8,137000
57585,"SALES MANAGER",4,192250
27732,"FACILITY MANAGER",58,93000
9590,"FACILITY MANAGER",7,101400
27732,"SOFTWARE ENGINEERING MANAGER",11,232000
57585,"SOFTWARE ENGINEERING MANAGER",4,239650
9604,"SOFTWARE ENGINEERING MANAGER",7,173667
9604,"PORTFOLIO MANAGER",9,157650
4605,"PORTFOLIO MANAGER",5,134000
9590,"PORTFOLIO MANAGER",15,104100
494,"SUPPLY CHAIN ANALYST",10,143875
9604,"SUPPLY CHAIN ANALYST",44,139200
307,"SUPPLY CHAIN ANALYST",11,127092
9590,"SUPPLY CHAIN ANALYST",253,105747
9590,"EDUCATION ADMINISTRATOR",7,139600
9604,"MEDICAL MANAGER",12,183700
9604,"PROCUREMENT SPECIALIST",30,152000
494,"PROCUREMENT SPECIALIST",4,214276
9590,"PROCUREMENT SPECIALIST",128,118400
4605,"PROCUREMENT SPECIALIST",19,134000
57585,"PROCUREMENT SPECIALIST",4,135500
9590,"CLAIMS SPECIALIST",10,79498
27732,"REGULATORY AND COMPLIANCE ANALYST",9,160000
9604,"REGULATORY AND COMPLIANCE ANALYST",6,168700
9590,"REGULATORY AND COMPLIANCE ANALYST",59,94478
57585,"REGULATORY AND COMPLIANCE ANALYST",6,111000
9604,"COST ANALYST",5,159933
132,"HUMAN RESOURCES SPECIALIST",10,183300
27732,"HUMAN RESOURCES SPECIALIST",16,148000
9604,"HUMAN RESOURCES SPECIALIST",30,130000
307,"HUMAN RESOURCES SPECIALIST",13,158736
57585,"HUMAN RESOURCES SPECIALIST",6,175750
9590,"HUMAN RESOURCES SPECIALIST",92,71136
9590,"LOGISTICS SPECIALIST",28,97286
